created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed May 17 17:17:30 +0000 2023;1658884460249767936;"Merpati Sports - Informasi terbaik seputar olahraga: Timnas Indonesia Tingkatkan Produktivitas Dengan R... https://t.co/Wzu5m10M4Y  #timnas #indonesia #timnasday #timnasindonesia #sepakbola #asiangames2023 #timnasu19 #timnasu23 #timnasu22 #pssi #football #jakarta #seagames https://t.co/f6U0cIKwPe";0;0;1;2;in;1637375439336271873;1658884460249767936;MerpatiNewsfeed;https://twitter.com/MerpatiNewsfeed/status/1658884460249767936
Wed May 17 15:52:29 +0000 2023;1658863064392015872;"JUARA !!!  JUARA !!!  DIANTARA RATUSAN NYAWA YANG TAK PERNAH KALIAN PERTANGGUNGJAWABKAN.  FCK BUAT KALIAN SEMUA YANG TERLIBAT DALAM TAWAR MENAWAR SESAMA KEPARAT ANTARA MANTAN KETUM DAN PARA PEMBUNUH !  #TimnasDay #TimnasIndonesia #PSSI  #SEAGames https://t.co/AD66i7CsIX";0;0;0;0;in;1003165933978845189;1658863064392015872;priatulenn;https://twitter.com/priatulenn/status/1658863064392015872
Wed May 17 15:45:14 +0000 2023;1658861239563603969;"Terima kasih kami ucapkan kepada seluruh atlet tanah air yang telah berjuang keras mengharumkan nama bangsa di ajang Sea Games 2023 Kamboja.  Semoga capaian kita kedepannya semakin baik lagi  #eventologi #seagames2023 #indonesia #timnasday #32tahun #timnas #pssi https://t.co/COzw5sOvg9";0;0;0;1;in;1647913081937485824;1658861239563603969;eventologi;https://twitter.com/eventologi/status/1658861239563603969
Wed May 17 15:20:27 +0000 2023;1658855003266719745;"Timnas Indonesia U22 Sabet Medali Emas SEA Games 2023, Football Institute: Jokowi Gak Salah Pilih Ketum PSSI! #TimnasDay #SEAGames2023 #Jokowi #PSSI   https://t.co/0ix1r4VTxp";0;0;0;0;in;803539781019799552;1658855003266719745;AyoBogorCom;https://twitter.com/AyoBogorCom/status/1658855003266719745
Wed May 17 15:07:59 +0000 2023;1658851867143675908;"SIARAN PERS Ketua DPD RI Rabu, 17 Mei 2023 ----------  Penantian 32 Tahun, LaNyalla Bangga Timnas Indonesia Raih Emas di Ajang SEA Games 2023  JAKARTA - Torehan positif Timnas Indonesia yang sukses meraih medali emas dari cabang next.. #LaNyalla #SeaGame2023 #BolaIndonesia #PSSI https://t.co/lFGcDdGJ53";0;1;3;4;in;710763230445113344;1658851867143675908;patualanggaAsse;https://twitter.com/patualanggaAsse/status/1658851867143675908
Wed May 17 14:55:12 +0000 2023;1658848648241856513;"Congratulations  Pak Ketum Erick Thohir, belajar dari Coach Indra Sjafri utk percaya Produk  Lokal, beliau memberi kepercayaan pada 20 pemain timnas,lahir&amp  besar di Indonesia utk   meraih mimpi menanti  32 thn  meraih Emas sepak bola SEA Games🙏 #IndraSjafri  #PSSI #SEAGames2023 https://t.co/JoSL8h41jg";0;0;2;8;in;250045325;1658848648241856513;DokterAri;https://twitter.com/DokterAri/status/1658848648241856513
Wed May 17 14:27:33 +0000 2023;1658841691514699779;"Erickthohir buktikan layak menjadi cawapres melalui kepemimpinannya di BUMN. #erickthohir #pssi #bumn https://t.co/3KZN0jZPT4";0;0;0;0;in;1643770232023162880;1658841691514699779;RioRahm4n;https://twitter.com/RioRahm4n/status/1658841691514699779
Wed May 17 14:19:08 +0000 2023;1658839573525409793;"Timnas, banyak banget yg dukung dan bangga sama kerja keras kalian selama ini. Terima kasih sudah berjuang untuk Indonesia🙌  #KitaGaruda #TimnasDapatEmas #ErickThohir #ErickSolusi #timnas #timnasday #timnasindonesia #sepakbola #sepakbolaindonesia #seagames #PSSI #ketumpssi https://t.co/dZeVnnl41n";1;0;0;1;in;1593101452540809216;1658839573525409793;netizulbudiman;https://twitter.com/netizulbudiman/status/1658839573525409793
Wed May 17 14:00:01 +0000 2023;1658834763531051008;"Aksi Ketua Umum PSSI Erick Thohir turun ke lapangan dari tribun VIP untuk menenangkan para pemain dan official saat terjadi kerusuhan pada laga final SEA Games 2023 Indonesia vs Thailand.  NNN  #ErickThohir #SEAGames2023 #PSSI #KetuaUmum #KetumPSSI #Indonesia #Thailand https://t.co/Ty3xL5UZac";0;0;0;1;in;375995332;1658834763531051008;SeputariNews;https://twitter.com/SeputariNews/status/1658834763531051008
Wed May 17 13:40:15 +0000 2023;1658829788805746688;"Erickthohir buktikan layak menjadi cawapres melalui kepemimpinannya di BUMN. #erickthohir #pssi #bumn https://t.co/XRUqMoFkYJ";0;0;0;0;in;1554764541023879168;1658829788805746688;AlfaneRizky;https://twitter.com/AlfaneRizky/status/1658829788805746688
