created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue May 16 22:46:47 +0000 2023;1658604939986505729;"Alhamdulillah #TimnasDapatEmas Thank u Garuda Muda Indonesia, thank u @erickthohir Bangga..!   #TimnasIndonesia #PSSI #ErickThohir #EnergiTerbaikIndonesia #GarudaMuda #SEAGames2023 https://t.co/yBvNh3vaq5";0;0;0;0;in;95391828;1658604939986505729;andiawd;https://twitter.com/andiawd/status/1658604939986505729
Tue May 16 21:29:12 +0000 2023;1658585415799164928;"Indonesia Gemilang Rebut Medali Emas Sepak Bola di SEA Games Kamboja 2023 - https://t.co/kxgFo1AwmD #IndraSjafri #ErickTohir #PSSI";0;0;0;0;in;98528364;1658585415799164928;infokespro;https://twitter.com/infokespro/status/1658585415799164928
Tue May 16 20:01:34 +0000 2023;1658563359372120064;"Hanya di Era Jokowi, Timnas Indonesia Raih Medali Emas Setelah 32 Tahun  Sumber: https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia.  https://t.co/0P1qicnjET  #SEAGames #Jokowi #sepakbola #Timnas #Kamboja #PSSI #ketik #ketikmedia #beritaterkini #beritahariini https://t.co/pNEy4i477U";0;0;0;0;in;1594880014490959872;1658563359372120064;ketikmedia;https://twitter.com/ketikmedia/status/1658563359372120064
Tue May 16 19:13:17 +0000 2023;1658551211480723457;"Pertandingan partai final ini cukup sengit. Pada babak pertama, Timnas Indonesia mencetak dua gol. Kemudian pada babak kedua, Thailand mencetak dua gol penyeimbang.   Lanjut baca https://t.co/Qo6d15hxFx  #timnasindonesia #thailand #pssi #juara #seagames #sepakbola #football";0;1;0;0;in;1658013816880517121;1658551211480723457;mediakini01;https://twitter.com/mediakini01/status/1658551211480723457
Tue May 16 19:00:15 +0000 2023;1658547931593740288;"Final #SeaGames2023 Kami datang dengan #MentalitasJuara   Ayoooo #TimnasGaruda kalian bisaaaa ..  #ErickThohir #PSSI #ErickMerokET https://t.co/Akg7WhkDPq";0;0;0;1;in;1553078741793853441;1658547931593740288;RoketIndo;https://twitter.com/RoketIndo/status/1658547931593740288
Tue May 16 18:58:56 +0000 2023;1658547598901547008;"Selamat &amp  Terima kasih😘💕 #TimnasDay #SEAGames2023 #PSSI #juara https://t.co/xQA0bEz7dN";0;0;0;0;in;198078496;1658547598901547008;GustyOperafunky;https://twitter.com/GustyOperafunky/status/1658547598901547008
Tue May 16 18:31:39 +0000 2023;1658540732129632256;"gagal tuan rumah piala dunia diganti juara sea games.. sangat bahagianya indonesia 😁😁✊ garuda sakti garuda perang🦅 bukan burung perkutut #PSSI #sepakbolapialadunia #IndonesiavsThailand";0;0;0;0;in;1444596937;1658540732129632256;OemarDjibril;https://twitter.com/OemarDjibril/status/1658540732129632256
Tue May 16 18:08:55 +0000 2023;1658535011287724033;"@PSSI apresiasi pencapaian emas yg luarbiasa, anjurkan kibar bendera besok dong....#TimnasDay terimakaaih atas kebahagiaan dan kebanggaan utk rakyat imdonesia  #TimnasIndonesia  👍👍🔥🔥🔥🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 #PSSI";0;0;0;0;in;1245966130520285187;1658495496024104966;twind28;https://twitter.com/twind28/status/1658535011287724033
Tue May 16 18:02:53 +0000 2023;1658533493767561219;"Setelah penantian 32 tahun, akhirnya Timnas Indonesia kembali meraih emas di Sea Games 2023  @cakimiNOW @hasbipkb @PSSI   #seagames2023 #pssi #sepakbolaindonesia https://t.co/WoucH3OLpw";0;0;3;11;in;553657002;1658533493767561219;DPWPKBJAKARTA;https://twitter.com/DPWPKBJAKARTA/status/1658533493767561219
Tue May 16 17:54:02 +0000 2023;1658531267997224961;"KEMENANGAN DRAMATIS #timnasindonesia atas thailand!!!!  #TimnasDay #SEAGames #Sepakbola  #PSSI https://t.co/TYCKhcSLxI";0;0;0;1;in;1544258042354876416;1658531267997224961;bbgirl_leo;https://twitter.com/bbgirl_leo/status/1658531267997224961
Tue May 16 17:25:08 +0000 2023;1658523992486187009;"Sekali lagi, terima kasih banyak coach @indra_sjafri #Timnas #PSSI";0;0;0;1;in;1547938648514932740;1658523992486187009;avionas_;https://twitter.com/avionas_/status/1658523992486187009
Tue May 16 17:13:47 +0000 2023;1658521136311959553;"#SEAGames2023 #RizkyRidho #IndraSjafri #PSSI #TimnasDay  Bantai Thailand di Final SEA Games 2023, Erick Thohir: Terima Kasih Para Pejuang Bernyali Juara https://t.co/8FdjMr96aB";0;0;0;0;in;1523411429516509184;1658521136311959553;abdull1_yahya;https://twitter.com/abdull1_yahya/status/1658521136311959553
